epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,103.96,0.82174,0.92391,1.2233,0.94163,0.3906,0.45029,0.32859,1.68109,2.31193,1.47074,3.00476e-05,3.00476e-05,3.00476e-05
53,105.774,0.64461,0.73307,1.19809,0.94163,0.3906,0.45029,0.32859,1.68109,2.31193,1.47074,3.00242e-05,3.00242e-05,3.00242e-05
54,107.731,0.77194,0.84131,1.23491,0.94375,0.39202,0.42351,0.30534,1.68173,2.30013,1.46415,2.99772e-05,2.99772e-05,2.99772e-05
55,109.71,0.7211,0.91087,1.05304,0.94375,0.39202,0.42351,0.30534,1.68173,2.30013,1.46415,2.99066e-05,2.99066e-05,2.99066e-05
56,111.756,1.21202,1.6617,1.57929,0.94375,0.39202,0.42351,0.30534,1.68173,2.30013,1.46415,2.98125e-05,2.98125e-05,2.98125e-05
57,113.915,1.01374,1.47097,1.3596,0.94707,0.3927,0.42699,0.31475,1.6813,2.29122,1.45379,2.96948e-05,2.96948e-05,2.96948e-05
58,115.948,0.82036,1.38014,1.26886,0.94707,0.3927,0.42699,0.31475,1.6813,2.29122,1.45379,2.95535e-05,2.95535e-05,2.95535e-05
59,117.916,0.76715,0.73211,1.17652,0.94707,0.3927,0.42699,0.31475,1.6813,2.29122,1.45379,2.93887e-05,2.93887e-05,2.93887e-05
60,119.969,0.96114,0.77657,1.48107,0.94566,0.39166,0.42425,0.31165,1.7096,2.32656,1.46509,2.92003e-05,2.92003e-05,2.92003e-05
61,121.964,0.60582,0.71511,1.07383,0.94566,0.39166,0.42425,0.31165,1.7096,2.32656,1.46509,2.89884e-05,2.89884e-05,2.89884e-05
62,123.955,0.70937,0.90145,1.06094,0.94566,0.39166,0.42425,0.31165,1.7096,2.32656,1.46509,2.87529e-05,2.87529e-05,2.87529e-05
63,125.8,0.74314,0.81635,1.13563,0.9458,0.39357,0.42453,0.31188,1.72774,2.34382,1.48655,2.84938e-05,2.84938e-05,2.84938e-05
64,127.653,0.66862,0.71539,1.09176,0.9458,0.39357,0.42453,0.31188,1.72774,2.34382,1.48655,2.82112e-05,2.82112e-05,2.82112e-05
65,130.283,0.58599,0.85696,1.16919,0.9458,0.39357,0.42453,0.31188,1.72774,2.34382,1.48655,2.7905e-05,2.7905e-05,2.7905e-05
66,133.021,0.631,0.88631,1.0713,0.94587,0.39373,0.423,0.30756,1.73522,2.35924,1.49244,2.75753e-05,2.75753e-05,2.75753e-05
67,135.585,0.70395,1.04024,1.07933,0.94587,0.39373,0.423,0.30756,1.73522,2.35924,1.49244,2.7222e-05,2.7222e-05,2.7222e-05
68,138.006,0.92806,1.73839,1.34289,0.94587,0.39373,0.423,0.30756,1.73522,2.35924,1.49244,2.68451e-05,2.68451e-05,2.68451e-05
