0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
644,158,653,150,635,149,664,160,620,159,677,212,601,211,705,228,586,222,676,214,622,210,669,342,615,343,689,444,596,447,699,544,591,548
644,154,653,146,635,145,664,155,620,154,678,208,602,206,703,223,585,216,675,208,620,207,669,338,615,339,687,442,597,445,699,544,591,547
643,144,651,137,633,137,664,149,620,149,677,202,604,201,703,224,586,219,668,219,620,217,668,335,616,336,687,441,595,443,697,543,590,547
644,150,653,142,635,141,664,152,620,151,678,205,601,204,703,219,586,212,673,205,622,204,669,337,614,338,686,441,598,444,698,544,590,547
644,148,653,139,635,139,665,150,620,149,678,204,601,202,703,217,586,210,675,204,624,201,668,336,614,337,685,440,599,442,697,544,590,546
644,148,653,139,635,139,665,150,620,149,678,203,602,202,703,217,586,210,675,204,624,201,668,336,614,337,685,440,599,442,697,543,590,546
644,147,653,138,635,138,665,149,621,148,679,202,602,199,703,218,584,210,674,200,628,198,669,335,614,336,684,439,599,441,700,542,589,544
644,146,653,138,635,137,664,148,620,147,678,201,602,199,703,216,583,212,673,195,622,197,668,334,615,335,683,439,599,440,700,542,589,545
644,146,653,138,635,137,665,147,620,147,681,200,603,199,700,212,584,212,668,194,621,198,669,335,615,336,684,438,599,441,697,543,590,545
644,145,653,137,635,136,664,148,620,146,678,200,602,199,703,213,584,211,672,191,621,195,668,334,615,334,682,439,600,440,700,542,589,544
643,147,652,140,634,140,664,151,620,151,677,204,602,203,702,226,587,221,666,219,619,219,668,339,615,340,688,443,594,444,698,544,591,547
